Player,Surface,ELO
Rm Graham,Clay,1483.263693206478
Walter Kenneth Wesbrook,Clay,1485.5638002073363
Henri Jean Cochet,Clay,1855.1151923784532
Erik Worm,Clay,1445.8195650368955
Erik Tegner,Clay,1469.4356571014762
Henning Larsen,Clay,1516.0
Jean Rene Lacoste,Clay,1818.4471725584083
Georges Watson,Clay,1441.5140872517584
Jean Washer,Clay,1636.3960899864073
John Brian Gilbert,Clay,1517.7051716347055
Umberto Luigi De Morpurgo,Clay,1693.7066983909767
Cesare Colombo,Clay,1432.5991604580981
Jean Francois Blanchy,Clay,1526.466917509292
Charles Martin,Clay,1471.9732457463626
Charles Aeschliman,Clay,1507.5830493360306
Eduardo Flaquer Vazquez,Clay,1489.1865695467225
Henk Timmer,Clay,1646.4759184383981
Rogelio Paris,Clay,1506.0858865459743
Jack Wright,Clay,1418.6150806272417
Willard Crocker,Clay,1542.1787486187789
Ignacio Zayas,Clay,1484.7701398146428
Vicente Banet,Clay,1491.4763567008515
Pavel Macenauer,Clay,1452.1552593226836
Rezne Zemla,Clay,1473.4874995612563
Athar Ali Fyzee,Clay,1455.6406015232837
A Chancerel,Clay,1484.0
Jean Laurent Robert Borotra,Clay,1722.7705155994427
C Vuarin,Clay,1504.698255483468
Jean De Buzelet,Clay,1484.0
Leonce J Aslangul,Clay,1519.4644870592304
Pierre Passemard,Clay,1484.0
X Olivares,Clay,1514.6390536346546
Jacques Arago,Clay,1452.3288509812635
Augustos Zerlendis,Clay,1469.7869643636718
Charles F Aeschlimann,Clay,1499.6565066738176
R Le Blant,Clay,1468.871827432011
Pierre Hirsch,Clay,1486.8300932559787
Rodrigo De Castro De Pereira,Clay,1468.736306793522
Alain Bernard,Clay,1472.0133003415633
Jagat Mohan Lal,Clay,1463.1491574576735
Georges Gouttenoire,Clay,1484.0
Raymond Rodel,Clay,1459.4513445284035
Roger Danet,Clay,1447.2647126649952
Percy Portlock,Clay,1484.0
Nicolae Mishu,Clay,1477.574246098771
A Persin,Clay,1465.9482613063824
Rene Meunier,Clay,1516.0
Jean Couiteas De Faucamberge,Clay,1476.435570547543
Cyril Gladstone Eames,Clay,1501.2945846548164
Jean Augustin,Clay,1416.0461825426712
Shashidri Suvarna,Clay,1487.367286280164
Paul Ja Foret,Clay,1551.7712460984897
Jacques Quiry,Clay,1483.31014490797
Ali Hassan Fyzee,Clay,1475.0998572112192
Rene De Buzelet,Clay,1448.5575270235488
Pierre Henri Landry,Clay,1486.2492416721157
Hugo Chiesa,Clay,1473.9172238276703
Henri Reynaud,Clay,1464.6058024382507
Gordon Rhind Oak Crole Rees,Clay,1498.6088124651128
Robert Champin,Clay,1493.9521643718433
Adrien Aron,Clay,1468.525262308981
Pan Papadopoulos,Clay,1451.5153821426563
Andre Piel,Clay,1444.989352369251
F Restrepo,Clay,1515.1260325246435
Edouard Borotra,Clay,1471.5897380546826
Y Das De Kapurthala,Clay,1499.8487596504938
Pierre Canivet,Clay,1483.433992274376
Rodney Wilfrid Heath,Clay,1484.0
Maxime Guillemot,Clay,1434.24492076434
Coco Gentien,Clay,1453.658189340739
Antonio Sd Casanovas,Clay,1484.0
M Fournier,Clay,1483.263693206478
Pat Spence,Clay,1590.1262356624031
Edward Kleinadel,Clay,1446.222508687396
Imre Takats,Clay,1484.722503436351
Bela Von Kehrling,Clay,1623.5315312705034
Clemente Serventi,Clay,1444.1128498265648
Jose De Verda,Clay,1450.7100001580864
Antonio Casanovas,Clay,1440.2693660125406
Einer Ulrich,Clay,1517.1477966978443
Gheorghe Lupu,Clay,1474.4110545466654
Alfons Foerster,Clay,1469.3755163417763
Patrick Wheatley,Clay,1565.1725772822736
Wladyslaw Szwede,Clay,1469.376296758124
Jan Kozeluh,Clay,1528.4811890030026
Jarl Sune Malmstrom,Clay,1494.8369403935717
Marcus Wallenberg,Clay,1483.8899895001173
Axel Petersen,Clay,1463.3010417057285
Carl Erik Von Braun,Clay,1468.6101952514562
Ignacio De La Borbolla,Clay,1432.9153245421346
Claude Butlin,Clay,1492.4359170020537
Alfred San Galli,Clay,1468.6263576149447
Julian Lezard,Clay,1497.0918805591061
Ignacio De  La Borbolla,Clay,1482.9255408025642
Edouard Thurneyssen,Clay,1435.1647646382557
George Cholmondeley,Clay,1483.2770005998236
Arne Wilhelm Grahn,Clay,1509.9269991573678
Oswald Graham Noel Turnbull,Clay,1509.92332982487
Carlo Davalos,Clay,1499.4154804151117
Gf De Bruyn Kops,Clay,1484.0
Gyorgy Dungyersky,Clay,1503.7072288448733
Hector Cosmo Fisher,Clay,1481.1244654098664
A Felix Poulin,Clay,1500.6626548798067
William Robson,Clay,1538.2517892844605
El Sarkies,Clay,1501.8857076360584
Mino Balbi De Robecco,Clay,1503.294387415427
Jaf Halkema,Clay,1484.0
John Colin Gregory,Clay,1567.5464264773534
Sergei Rodzianko,Clay,1483.1254957174879
Enrique Obarrio,Clay,1469.8185710966889
Bjorn Thalbitzer,Clay,1470.0277602014394
Cor Bryan,Clay,1500.5547347077625
Jean Richard Le Besnerais,Clay,1484.0
Ronaldo R Boyd,Clay,1533.4153501040175
Leslie Allison Godfree,Clay,1506.6565399573435
Jose Maria Tejada,Clay,1505.9261457707019
Bertie Meyer,Clay,1498.741524654717
Aj Van Der Steur,Clay,1483.9323867755584
Ludwig  Albrecht Constantin Maria Count Von Salm Hoogstraeten,Clay,1459.1393176702522
David R Morrice,Clay,1483.451218064326
Sandford W Bobb,Clay,1484.3633533015222
Stanislav Czetwertynski,Clay,1512.399092673849
M Wetselaar,Clay,1492.0952171574402
Ernst Gottlieb,Clay,1484.1646888024807
Ah Greig,Clay,1484.9698812386507
Friedrich Ruhrer,Clay,1505.069592775022
Arthur Wallis Myers,Clay,1489.598685070207
Jm Tarruella,Clay,1484.7472441725724
Roger George,Clay,1439.9538262738276
Hector Americo Cattaruzza,Clay,1486.5439617068732
Nigel Sharpe,Clay,1515.8715271251033
Andre Laloux,Clay,1469.0254561773215
